Size,toolchain,instrumentation,nodes,cores,benchmark,grand_mean_avg,se_avg,median_p50,mean_p90,worst_p90,mean_p99,worst_p99
1.0,gompi2024a,OFF,1,96,collective-osu_bcast,2.013333333333333,0.03929942040850528,1.82,2.81,2.99,4.07,4.21
1.0,gompi2024a,OFF,1,96,collective-osu_bcast_persistent,2.4499999999999997,0.005773502691896263,2.29,3.0733333333333337,3.08,4.329999999999999,4.55
1.0,gompi2024a,OFF,1,96,collective-osu_gather,1.02,0.01000000000000001,0.93,1.29,1.29,2.1133333333333333,2.24
1.0,gompi2024a,OFF,1,96,collective-osu_gather_persistent,9.613333333333333,0.10365541203644134,9.35,12.36,12.71,15.290000000000001,16.17
1.0,gompi2024a,OFF,1,96,collective-osu_gatherv,9.063333333333333,0.06565905201197376,8.82,12.25,12.36,14.913333333333334,14.97
1.0,gompi2024a,OFF,1,96,collective-osu_gatherv_persistent,9.783333333333333,0.3022324344679845,9.61,12.69,13.0,15.393333333333333,15.75
1.0,gompi2024a,OFF,1,96,collective-osu_neighbor_allgather,1.05,0.01000000000000001,0.98,1.3333333333333333,1.37,1.8499999999999999,1.93
1.0,gompi2024a,OFF,1,96,collective-osu_neighbor_allgatherv,1.07,0.011547005383792526,0.99,1.3566666666666667,1.39,2.0166666666666666,2.08
1.0,gompi2024a,OFF,1,96,collective-osu_neighbor_alltoall,1.0333333333333334,0.0033333333333333366,0.97,1.31,1.33,1.86,1.89
1.0,gompi2024a,OFF,1,96,collective-osu_neighbor_alltoallv,1.0566666666666666,0.0033333333333333366,0.99,1.3433333333333335,1.37,1.9866666666666666,2.03
1.0,gompi2024a,OFF,1,96,collective-osu_neighbor_alltoallw,1.0833333333333333,0.0033333333333333366,1.01,1.3733333333333333,1.39,1.96,2.04
1.0,gompi2024a,OFF,1,96,collective-osu_scatter,2.3333333333333335,0.02728450923957493,2.2,3.2000000000000006,3.22,4.523333333333333,4.66
1.0,gompi2024a,OFF,1,96,collective-osu_scatter_persistent,10.553333333333333,1.6585368384345414,8.8,11.13,14.55,13.840000000000002,17.42
1.0,gompi2024a,OFF,1,96,collective-osu_scatterv,6.883333333333333,0.09938701010583698,6.84,8.143333333333333,8.28,10.306666666666667,10.67
