Size,Avg Latency(us),P50 Tail Lat(us),P90 Tail Lat(us),P99 Tail Lat(us),toolchain,instrumentation,nodes,cores,benchmark
1,0.51,0.48,0.52,0.66,gompi2024a,OFF,1,4,collective-osu_allgather
2,0.48,0.47,0.5,0.56,gompi2024a,OFF,1,4,collective-osu_allgather
4,0.48,0.47,0.5,0.58,gompi2024a,OFF,1,4,collective-osu_allgather
8,0.48,0.47,0.5,0.55,gompi2024a,OFF,1,4,collective-osu_allgather
16,0.59,0.59,0.63,0.7,gompi2024a,OFF,1,4,collective-osu_allgather
32,0.63,0.62,0.72,0.86,gompi2024a,OFF,1,4,collective-osu_allgather
64,0.84,0.7,1.34,2.27,gompi2024a,OFF,1,4,collective-osu_allgather
128,1.02,0.91,1.44,2.5,gompi2024a,OFF,1,4,collective-osu_allgather
256,1.05,1.01,1.07,2.25,gompi2024a,OFF,1,4,collective-osu_allgather
512,1.29,1.21,1.31,2.55,gompi2024a,OFF,1,4,collective-osu_allgather
1024,1.65,1.5,2.33,3.46,gompi2024a,OFF,1,4,collective-osu_allgather
2048,2.3,2.04,3.49,4.68,gompi2024a,OFF,1,4,collective-osu_allgather
4096,2.89,2.78,3.28,4.48,gompi2024a,OFF,1,4,collective-osu_allgather
8192,4.47,4.44,4.54,5.06,gompi2024a,OFF,1,4,collective-osu_allgather
16384,7.08,6.82,7.61,9.41,gompi2024a,OFF,1,4,collective-osu_allgather
32768,12.26,11.84,13.06,18.25,gompi2024a,OFF,1,4,collective-osu_allgather
65536,22.55,22.4,22.76,25.8,gompi2024a,OFF,1,4,collective-osu_allgather
131072,41.66,41.45,42.51,46.45,gompi2024a,OFF,1,4,collective-osu_allgather
262144,77.14,76.86,78.7,81.33,gompi2024a,OFF,1,4,collective-osu_allgather
524288,158.33,157.91,161.31,162.92,gompi2024a,OFF,1,4,collective-osu_allgather
1048576,286.15,285.57,288.57,290.95,gompi2024a,OFF,1,4,collective-osu_allgather
1,0.51,0.49,0.54,0.63,gompi2024a,OFF,1,4,collective-osu_allgather
2,0.51,0.5,0.53,0.61,gompi2024a,OFF,1,4,collective-osu_allgather
4,0.5,0.49,0.52,0.61,gompi2024a,OFF,1,4,collective-osu_allgather
8,0.5,0.5,0.52,0.57,gompi2024a,OFF,1,4,collective-osu_allgather
16,0.62,0.6,0.69,0.76,gompi2024a,OFF,1,4,collective-osu_allgather
32,0.77,0.77,0.82,0.87,gompi2024a,OFF,1,4,collective-osu_allgather
64,0.94,0.82,1.5,2.39,gompi2024a,OFF,1,4,collective-osu_allgather
128,1.11,1.0,1.57,2.57,gompi2024a,OFF,1,4,collective-osu_allgather
256,1.16,1.12,1.19,2.39,gompi2024a,OFF,1,4,collective-osu_allgather
512,1.38,1.29,1.39,2.77,gompi2024a,OFF,1,4,collective-osu_allgather
1024,1.68,1.52,2.38,3.58,gompi2024a,OFF,1,4,collective-osu_allgather
2048,2.26,2.01,3.47,4.71,gompi2024a,OFF,1,4,collective-osu_allgather
4096,2.86,2.75,3.27,4.3,gompi2024a,OFF,1,4,collective-osu_allgather
8192,4.5,4.48,4.57,4.68,gompi2024a,OFF,1,4,collective-osu_allgather
16384,7.08,6.82,7.83,9.69,gompi2024a,OFF,1,4,collective-osu_allgather
32768,12.11,11.73,12.91,16.63,gompi2024a,OFF,1,4,collective-osu_allgather
65536,22.33,22.23,22.52,25.32,gompi2024a,OFF,1,4,collective-osu_allgather
131072,41.15,40.97,42.06,47.12,gompi2024a,OFF,1,4,collective-osu_allgather
262144,77.25,77.02,78.89,81.4,gompi2024a,OFF,1,4,collective-osu_allgather
524288,157.18,156.62,159.78,164.4,gompi2024a,OFF,1,4,collective-osu_allgather
1048576,286.46,285.74,289.66,292.35,gompi2024a,OFF,1,4,collective-osu_allgather
1,0.51,0.5,0.54,0.64,gompi2024a,OFF,1,4,collective-osu_allgather
2,0.5,0.5,0.52,0.59,gompi2024a,OFF,1,4,collective-osu_allgather
4,0.5,0.5,0.53,0.59,gompi2024a,OFF,1,4,collective-osu_allgather
8,0.51,0.51,0.53,0.65,gompi2024a,OFF,1,4,collective-osu_allgather
16,0.65,0.64,0.7,0.77,gompi2024a,OFF,1,4,collective-osu_allgather
32,0.78,0.79,0.82,0.87,gompi2024a,OFF,1,4,collective-osu_allgather
64,1.0,0.87,1.56,2.49,gompi2024a,OFF,1,4,collective-osu_allgather
128,1.15,1.04,1.63,2.59,gompi2024a,OFF,1,4,collective-osu_allgather
256,1.23,1.18,1.28,2.39,gompi2024a,OFF,1,4,collective-osu_allgather
512,1.41,1.33,1.41,3.0,gompi2024a,OFF,1,4,collective-osu_allgather
1024,1.7,1.53,2.42,3.49,gompi2024a,OFF,1,4,collective-osu_allgather
2048,2.24,1.98,3.46,4.62,gompi2024a,OFF,1,4,collective-osu_allgather
4096,2.84,2.72,3.29,4.39,gompi2024a,OFF,1,4,collective-osu_allgather
8192,4.49,4.48,4.57,4.72,gompi2024a,OFF,1,4,collective-osu_allgather
16384,7.09,6.88,7.83,9.56,gompi2024a,OFF,1,4,collective-osu_allgather
32768,12.36,11.82,12.84,20.06,gompi2024a,OFF,1,4,collective-osu_allgather
65536,22.44,22.34,22.65,25.18,gompi2024a,OFF,1,4,collective-osu_allgather
131072,41.1,40.98,42.18,45.59,gompi2024a,OFF,1,4,collective-osu_allgather
262144,78.02,77.85,79.61,82.23,gompi2024a,OFF,1,4,collective-osu_allgather
524288,159.41,159.11,161.83,165.45,gompi2024a,OFF,1,4,collective-osu_allgather
1048576,292.42,291.67,296.09,298.08,gompi2024a,OFF,1,4,collective-osu_allgather
1,0.51,0.5,0.54,0.65,gompi2024a,OFF,1,4,collective-osu_allgather
2,0.5,0.49,0.52,0.59,gompi2024a,OFF,1,4,collective-osu_allgather
4,0.49,0.49,0.52,0.6,gompi2024a,OFF,1,4,collective-osu_allgather
8,0.5,0.49,0.52,0.58,gompi2024a,OFF,1,4,collective-osu_allgather
16,0.64,0.63,0.68,0.75,gompi2024a,OFF,1,4,collective-osu_allgather
32,0.8,0.78,0.83,0.87,gompi2024a,OFF,1,4,collective-osu_allgather
64,1.0,0.86,1.57,2.43,gompi2024a,OFF,1,4,collective-osu_allgather
128,1.16,1.05,1.62,2.65,gompi2024a,OFF,1,4,collective-osu_allgather
256,1.22,1.17,1.26,2.43,gompi2024a,OFF,1,4,collective-osu_allgather
512,1.41,1.33,1.4,2.96,gompi2024a,OFF,1,4,collective-osu_allgather
1024,1.69,1.53,2.38,3.5,gompi2024a,OFF,1,4,collective-osu_allgather
2048,2.23,1.97,3.37,4.76,gompi2024a,OFF,1,4,collective-osu_allgather
4096,2.84,2.73,3.29,4.42,gompi2024a,OFF,1,4,collective-osu_allgather
8192,4.51,4.49,4.59,4.7,gompi2024a,OFF,1,4,collective-osu_allgather
16384,7.09,6.91,7.77,8.49,gompi2024a,OFF,1,4,collective-osu_allgather
32768,12.61,11.92,14.23,22.14,gompi2024a,OFF,1,4,collective-osu_allgather
65536,22.54,22.45,22.72,25.25,gompi2024a,OFF,1,4,collective-osu_allgather
131072,41.17,41.1,42.33,44.36,gompi2024a,OFF,1,4,collective-osu_allgather
262144,77.91,77.98,79.41,81.5,gompi2024a,OFF,1,4,collective-osu_allgather
524288,159.11,158.59,161.15,163.76,gompi2024a,OFF,1,4,collective-osu_allgather
1048576,289.74,289.5,292.39,295.44,gompi2024a,OFF,1,4,collective-osu_allgather
1,0.51,0.5,0.54,0.64,gompi2024a,OFF,1,4,collective-osu_allgather
2,0.51,0.5,0.53,0.58,gompi2024a,OFF,1,4,collective-osu_allgather
4,0.5,0.5,0.53,0.63,gompi2024a,OFF,1,4,collective-osu_allgather
8,0.5,0.5,0.52,0.58,gompi2024a,OFF,1,4,collective-osu_allgather
16,0.65,0.64,0.69,0.78,gompi2024a,OFF,1,4,collective-osu_allgather
32,0.8,0.79,0.84,0.89,gompi2024a,OFF,1,4,collective-osu_allgather
64,1.0,0.87,1.56,2.36,gompi2024a,OFF,1,4,collective-osu_allgather
128,1.16,1.05,1.63,2.61,gompi2024a,OFF,1,4,collective-osu_allgather
256,1.22,1.18,1.27,2.42,gompi2024a,OFF,1,4,collective-osu_allgather
512,1.42,1.34,1.43,2.69,gompi2024a,OFF,1,4,collective-osu_allgather
1024,1.7,1.54,2.42,3.49,gompi2024a,OFF,1,4,collective-osu_allgather
2048,2.24,1.98,3.42,4.6,gompi2024a,OFF,1,4,collective-osu_allgather
4096,2.84,2.72,3.28,4.41,gompi2024a,OFF,1,4,collective-osu_allgather
8192,4.52,4.49,4.59,4.75,gompi2024a,OFF,1,4,collective-osu_allgather
16384,7.18,6.94,7.94,9.68,gompi2024a,OFF,1,4,collective-osu_allgather
32768,12.31,11.83,13.09,20.12,gompi2024a,OFF,1,4,collective-osu_allgather
65536,22.46,22.33,22.63,25.29,gompi2024a,OFF,1,4,collective-osu_allgather
131072,41.6,41.36,42.66,46.12,gompi2024a,OFF,1,4,collective-osu_allgather
262144,78.64,78.59,79.94,81.85,gompi2024a,OFF,1,4,collective-osu_allgather
524288,159.52,159.17,161.92,165.3,gompi2024a,OFF,1,4,collective-osu_allgather
1048576,292.36,292.04,295.25,297.49,gompi2024a,OFF,1,4,collective-osu_allgather
1,0.52,0.51,0.55,0.62,gompi2024a,OFF,1,4,collective-osu_allgather
2,0.51,0.5,0.53,0.59,gompi2024a,OFF,1,4,collective-osu_allgather
4,0.51,0.51,0.54,0.62,gompi2024a,OFF,1,4,collective-osu_allgather
8,0.5,0.5,0.52,0.6,gompi2024a,OFF,1,4,collective-osu_allgather
16,0.65,0.64,0.7,0.74,gompi2024a,OFF,1,4,collective-osu_allgather
32,0.78,0.78,0.83,0.87,gompi2024a,OFF,1,4,collective-osu_allgather
64,1.01,0.88,1.56,2.47,gompi2024a,OFF,1,4,collective-osu_allgather
128,1.17,1.06,1.63,2.61,gompi2024a,OFF,1,4,collective-osu_allgather
256,1.23,1.19,1.26,2.42,gompi2024a,OFF,1,4,collective-osu_allgather
512,1.42,1.34,1.42,2.71,gompi2024a,OFF,1,4,collective-osu_allgather
1024,1.69,1.54,2.3,3.67,gompi2024a,OFF,1,4,collective-osu_allgather
2048,2.25,1.98,3.49,4.61,gompi2024a,OFF,1,4,collective-osu_allgather
4096,2.84,2.73,3.3,4.3,gompi2024a,OFF,1,4,collective-osu_allgather
8192,4.52,4.5,4.59,4.68,gompi2024a,OFF,1,4,collective-osu_allgather
16384,7.1,6.91,7.52,10.24,gompi2024a,OFF,1,4,collective-osu_allgather
32768,12.44,11.94,12.96,19.71,gompi2024a,OFF,1,4,collective-osu_allgather
65536,22.56,22.46,22.77,25.53,gompi2024a,OFF,1,4,collective-osu_allgather
131072,41.12,41.11,42.11,44.73,gompi2024a,OFF,1,4,collective-osu_allgather
262144,78.02,77.92,79.43,81.52,gompi2024a,OFF,1,4,collective-osu_allgather
524288,158.06,157.76,160.63,163.7,gompi2024a,OFF,1,4,collective-osu_allgather
1048576,289.66,289.07,293.2,295.74,gompi2024a,OFF,1,4,collective-osu_allgather
1,0.5,0.49,0.52,0.61,gompi2024a,OFF,1,4,collective-osu_allgather
2,0.49,0.49,0.52,0.57,gompi2024a,OFF,1,4,collective-osu_allgather
4,0.5,0.49,0.52,0.57,gompi2024a,OFF,1,4,collective-osu_allgather
8,0.5,0.49,0.53,0.59,gompi2024a,OFF,1,4,collective-osu_allgather
16,0.62,0.61,0.72,0.78,gompi2024a,OFF,1,4,collective-osu_allgather
32,0.74,0.74,0.8,0.84,gompi2024a,OFF,1,4,collective-osu_allgather
64,0.95,0.82,1.5,2.33,gompi2024a,OFF,1,4,collective-osu_allgather
128,1.11,1.01,1.55,2.51,gompi2024a,OFF,1,4,collective-osu_allgather
256,1.17,1.13,1.2,2.3,gompi2024a,OFF,1,4,collective-osu_allgather
512,1.37,1.29,1.4,2.57,gompi2024a,OFF,1,4,collective-osu_allgather
1024,1.67,1.53,2.18,3.5,gompi2024a,OFF,1,4,collective-osu_allgather
2048,2.29,2.01,3.51,4.62,gompi2024a,OFF,1,4,collective-osu_allgather
4096,2.86,2.75,3.29,4.24,gompi2024a,OFF,1,4,collective-osu_allgather
8192,4.49,4.47,4.57,4.7,gompi2024a,OFF,1,4,collective-osu_allgather
16384,7.05,6.84,7.81,9.25,gompi2024a,OFF,1,4,collective-osu_allgather
32768,12.21,11.77,12.75,18.75,gompi2024a,OFF,1,4,collective-osu_allgather
65536,22.39,22.25,22.63,25.42,gompi2024a,OFF,1,4,collective-osu_allgather
131072,40.85,40.64,42.07,45.74,gompi2024a,OFF,1,4,collective-osu_allgather
262144,77.8,77.64,79.25,80.61,gompi2024a,OFF,1,4,collective-osu_allgather
524288,159.16,158.58,162.04,165.18,gompi2024a,OFF,1,4,collective-osu_allgather
1048576,289.08,288.38,292.68,296.56,gompi2024a,OFF,1,4,collective-osu_allgather
1,0.52,0.5,0.54,0.64,gompi2024a,OFF,1,4,collective-osu_allgather
2,0.51,0.5,0.54,0.61,gompi2024a,OFF,1,4,collective-osu_allgather
4,0.52,0.52,0.54,0.64,gompi2024a,OFF,1,4,collective-osu_allgather
8,0.51,0.5,0.53,0.62,gompi2024a,OFF,1,4,collective-osu_allgather
16,0.66,0.66,0.7,0.75,gompi2024a,OFF,1,4,collective-osu_allgather
32,0.8,0.79,0.83,0.87,gompi2024a,OFF,1,4,collective-osu_allgather
64,1.03,0.9,1.62,2.38,gompi2024a,OFF,1,4,collective-osu_allgather
128,1.18,1.07,1.66,2.66,gompi2024a,OFF,1,4,collective-osu_allgather
256,1.23,1.17,1.29,2.59,gompi2024a,OFF,1,4,collective-osu_allgather
512,1.42,1.34,1.42,3.0,gompi2024a,OFF,1,4,collective-osu_allgather
1024,1.7,1.54,2.42,3.56,gompi2024a,OFF,1,4,collective-osu_allgather
2048,2.24,1.99,3.4,4.62,gompi2024a,OFF,1,4,collective-osu_allgather
4096,2.83,2.73,3.27,4.04,gompi2024a,OFF,1,4,collective-osu_allgather
8192,4.51,4.5,4.6,4.72,gompi2024a,OFF,1,4,collective-osu_allgather
16384,7.15,6.89,7.78,9.97,gompi2024a,OFF,1,4,collective-osu_allgather
32768,12.37,11.87,13.51,17.77,gompi2024a,OFF,1,4,collective-osu_allgather
65536,22.42,22.32,22.69,25.4,gompi2024a,OFF,1,4,collective-osu_allgather
131072,41.12,41.03,42.1,45.66,gompi2024a,OFF,1,4,collective-osu_allgather
262144,78.01,77.73,79.36,82.01,gompi2024a,OFF,1,4,collective-osu_allgather
524288,159.1,158.64,161.71,164.26,gompi2024a,OFF,1,4,collective-osu_allgather
1048576,289.3,288.55,292.59,295.39,gompi2024a,OFF,1,4,collective-osu_allgather
1,0.52,0.52,0.55,0.66,gompi2024a,OFF,1,4,collective-osu_allgather
2,0.51,0.51,0.53,0.6,gompi2024a,OFF,1,4,collective-osu_allgather
4,0.51,0.5,0.53,0.6,gompi2024a,OFF,1,4,collective-osu_allgather
8,0.51,0.51,0.53,0.6,gompi2024a,OFF,1,4,collective-osu_allgather
16,0.66,0.65,0.7,0.79,gompi2024a,OFF,1,4,collective-osu_allgather
32,0.8,0.79,0.83,0.88,gompi2024a,OFF,1,4,collective-osu_allgather
64,1.02,0.88,1.58,2.56,gompi2024a,OFF,1,4,collective-osu_allgather
128,1.17,1.06,1.63,2.58,gompi2024a,OFF,1,4,collective-osu_allgather
256,1.23,1.19,1.27,2.29,gompi2024a,OFF,1,4,collective-osu_allgather
512,1.42,1.34,1.42,2.79,gompi2024a,OFF,1,4,collective-osu_allgather
1024,1.7,1.54,2.39,3.51,gompi2024a,OFF,1,4,collective-osu_allgather
2048,2.26,1.99,3.45,4.72,gompi2024a,OFF,1,4,collective-osu_allgather
4096,2.84,2.73,3.28,4.32,gompi2024a,OFF,1,4,collective-osu_allgather
8192,4.51,4.5,4.59,4.73,gompi2024a,OFF,1,4,collective-osu_allgather
16384,7.1,6.89,7.73,9.65,gompi2024a,OFF,1,4,collective-osu_allgather
32768,12.35,11.83,13.1,17.82,gompi2024a,OFF,1,4,collective-osu_allgather
65536,22.48,22.36,22.68,25.96,gompi2024a,OFF,1,4,collective-osu_allgather
131072,41.04,40.97,41.9,44.47,gompi2024a,OFF,1,4,collective-osu_allgather
262144,78.25,78.2,79.44,81.93,gompi2024a,OFF,1,4,collective-osu_allgather
524288,158.33,157.83,161.23,165.0,gompi2024a,OFF,1,4,collective-osu_allgather
1048576,293.14,292.79,296.49,301.71,gompi2024a,OFF,1,4,collective-osu_allgather
1,0.51,0.5,0.53,0.65,gompi2024a,OFF,1,4,collective-osu_allgather
2,0.51,0.5,0.53,0.6,gompi2024a,OFF,1,4,collective-osu_allgather
4,0.52,0.51,0.54,0.59,gompi2024a,OFF,1,4,collective-osu_allgather
8,0.51,0.51,0.53,0.58,gompi2024a,OFF,1,4,collective-osu_allgather
16,0.66,0.66,0.7,0.75,gompi2024a,OFF,1,4,collective-osu_allgather
32,0.8,0.79,0.82,0.87,gompi2024a,OFF,1,4,collective-osu_allgather
64,1.04,0.9,1.62,2.52,gompi2024a,OFF,1,4,collective-osu_allgather
128,1.19,1.08,1.67,2.66,gompi2024a,OFF,1,4,collective-osu_allgather
256,1.29,1.24,1.35,2.71,gompi2024a,OFF,1,4,collective-osu_allgather
512,1.44,1.36,1.46,2.9,gompi2024a,OFF,1,4,collective-osu_allgather
1024,1.71,1.55,2.44,3.51,gompi2024a,OFF,1,4,collective-osu_allgather
2048,2.22,1.96,3.43,4.58,gompi2024a,OFF,1,4,collective-osu_allgather
4096,2.83,2.72,3.3,3.98,gompi2024a,OFF,1,4,collective-osu_allgather
8192,4.55,4.53,4.62,4.8,gompi2024a,OFF,1,4,collective-osu_allgather
16384,7.25,6.92,8.16,10.94,gompi2024a,OFF,1,4,collective-osu_allgather
32768,12.49,12.0,13.29,18.96,gompi2024a,OFF,1,4,collective-osu_allgather
65536,22.69,22.61,22.87,25.67,gompi2024a,OFF,1,4,collective-osu_allgather
131072,41.06,40.92,42.4,44.53,gompi2024a,OFF,1,4,collective-osu_allgather
262144,78.37,78.16,80.14,81.96,gompi2024a,OFF,1,4,collective-osu_allgather
524288,158.05,157.48,160.95,163.43,gompi2024a,OFF,1,4,collective-osu_allgather
1048576,288.77,288.27,291.82,294.49,gompi2024a,OFF,1,4,collective-osu_allgather
4,0.55,0.54,0.58,0.72,gompi2024a,OFF,1,4,collective-osu_allreduce
8,0.54,0.54,0.56,0.61,gompi2024a,OFF,1,4,collective-osu_allreduce
16,0.54,0.53,0.56,0.61,gompi2024a,OFF,1,4,collective-osu_allreduce
32,0.84,0.83,0.89,0.94,gompi2024a,OFF,1,4,collective-osu_allreduce
64,0.81,0.8,0.84,0.87,gompi2024a,OFF,1,4,collective-osu_allreduce
128,1.29,1.07,2.23,3.83,gompi2024a,OFF,1,4,collective-osu_allreduce
256,1.13,1.09,1.14,2.48,gompi2024a,OFF,1,4,collective-osu_allreduce
512,1.39,1.34,1.41,2.91,gompi2024a,OFF,1,4,collective-osu_allreduce
1024,1.53,1.43,1.63,3.53,gompi2024a,OFF,1,4,collective-osu_allreduce
2048,2.02,1.87,2.32,4.23,gompi2024a,OFF,1,4,collective-osu_allreduce
4096,2.76,2.51,3.44,5.44,gompi2024a,OFF,1,4,collective-osu_allreduce
8192,4.13,4.11,4.24,4.41,gompi2024a,OFF,1,4,collective-osu_allreduce
16384,6.72,6.28,7.63,11.82,gompi2024a,OFF,1,4,collective-osu_allreduce
32768,10.41,9.92,11.84,14.76,gompi2024a,OFF,1,4,collective-osu_allreduce
65536,16.44,15.7,19.69,22.14,gompi2024a,OFF,1,4,collective-osu_allreduce
131072,27.85,27.38,28.87,34.62,gompi2024a,OFF,1,4,collective-osu_allreduce
262144,52.54,52.34,52.89,55.72,gompi2024a,OFF,1,4,collective-osu_allreduce
524288,105.33,105.05,107.49,109.63,gompi2024a,OFF,1,4,collective-osu_allreduce
1048576,230.82,230.7,233.26,234.37,gompi2024a,OFF,1,4,collective-osu_allreduce
4,0.55,0.54,0.58,0.69,gompi2024a,OFF,1,4,collective-osu_allreduce
8,0.54,0.53,0.56,0.63,gompi2024a,OFF,1,4,collective-osu_allreduce
16,0.53,0.52,0.54,0.6,gompi2024a,OFF,1,4,collective-osu_allreduce
32,0.83,0.82,0.87,0.91,gompi2024a,OFF,1,4,collective-osu_allreduce
64,0.82,0.81,0.84,0.88,gompi2024a,OFF,1,4,collective-osu_allreduce
128,1.3,1.07,2.29,3.75,gompi2024a,OFF,1,4,collective-osu_allreduce
256,1.12,1.09,1.15,2.73,gompi2024a,OFF,1,4,collective-osu_allreduce
512,1.42,1.37,1.46,3.28,gompi2024a,OFF,1,4,collective-osu_allreduce
1024,1.54,1.43,1.64,3.65,gompi2024a,OFF,1,4,collective-osu_allreduce
2048,2.02,1.85,2.33,4.06,gompi2024a,OFF,1,4,collective-osu_allreduce
4096,2.74,2.47,3.47,5.45,gompi2024a,OFF,1,4,collective-osu_allreduce
8192,4.06,4.05,4.16,4.3,gompi2024a,OFF,1,4,collective-osu_allreduce
16384,6.59,6.22,7.37,9.79,gompi2024a,OFF,1,4,collective-osu_allreduce
32768,10.45,9.88,11.84,15.32,gompi2024a,OFF,1,4,collective-osu_allreduce
65536,16.41,15.88,17.58,22.35,gompi2024a,OFF,1,4,collective-osu_allreduce
131072,28.14,27.66,29.26,33.24,gompi2024a,OFF,1,4,collective-osu_allreduce
262144,52.76,52.57,53.04,56.56,gompi2024a,OFF,1,4,collective-osu_allreduce
524288,105.04,104.8,106.68,109.43,gompi2024a,OFF,1,4,collective-osu_allreduce
1048576,228.24,227.98,231.3,233.81,gompi2024a,OFF,1,4,collective-osu_allreduce
4,0.55,0.54,0.58,0.69,gompi2024a,OFF,1,4,collective-osu_allreduce
8,0.55,0.54,0.57,0.63,gompi2024a,OFF,1,4,collective-osu_allreduce
16,0.54,0.53,0.56,0.65,gompi2024a,OFF,1,4,collective-osu_allreduce
32,0.84,0.84,0.89,0.95,gompi2024a,OFF,1,4,collective-osu_allreduce
64,0.79,0.79,0.83,0.86,gompi2024a,OFF,1,4,collective-osu_allreduce
128,1.28,1.07,2.21,3.28,gompi2024a,OFF,1,4,collective-osu_allreduce
256,1.12,1.08,1.14,2.61,gompi2024a,OFF,1,4,collective-osu_allreduce
512,1.39,1.34,1.43,3.04,gompi2024a,OFF,1,4,collective-osu_allreduce
1024,1.53,1.42,1.58,3.46,gompi2024a,OFF,1,4,collective-osu_allreduce
2048,2.03,1.86,2.35,4.07,gompi2024a,OFF,1,4,collective-osu_allreduce
4096,2.77,2.51,3.46,5.42,gompi2024a,OFF,1,4,collective-osu_allreduce
8192,4.12,4.1,4.23,4.4,gompi2024a,OFF,1,4,collective-osu_allreduce
16384,6.75,6.37,7.66,10.27,gompi2024a,OFF,1,4,collective-osu_allreduce
32768,10.33,9.91,11.47,17.08,gompi2024a,OFF,1,4,collective-osu_allreduce
65536,16.31,15.67,17.03,23.84,gompi2024a,OFF,1,4,collective-osu_allreduce
131072,27.46,27.3,27.84,30.18,gompi2024a,OFF,1,4,collective-osu_allreduce
262144,52.5,52.27,52.82,55.83,gompi2024a,OFF,1,4,collective-osu_allreduce
524288,105.01,104.96,106.78,109.16,gompi2024a,OFF,1,4,collective-osu_allreduce
1048576,229.27,229.06,231.74,234.29,gompi2024a,OFF,1,4,collective-osu_allreduce
4,0.53,0.52,0.56,0.68,gompi2024a,OFF,1,4,collective-osu_allreduce
8,0.53,0.52,0.55,0.6,gompi2024a,OFF,1,4,collective-osu_allreduce
16,0.52,0.51,0.54,0.62,gompi2024a,OFF,1,4,collective-osu_allreduce
32,0.74,0.73,0.82,0.89,gompi2024a,OFF,1,4,collective-osu_allreduce
64,0.68,0.67,0.72,0.79,gompi2024a,OFF,1,4,collective-osu_allreduce
128,1.19,0.99,2.08,3.63,gompi2024a,OFF,1,4,collective-osu_allreduce
256,1.05,1.01,1.08,1.95,gompi2024a,OFF,1,4,collective-osu_allreduce
512,1.27,1.23,1.29,3.0,gompi2024a,OFF,1,4,collective-osu_allreduce
1024,1.48,1.39,1.51,3.36,gompi2024a,OFF,1,4,collective-osu_allreduce
2048,2.04,1.89,2.34,4.14,gompi2024a,OFF,1,4,collective-osu_allreduce
4096,2.81,2.58,3.45,5.42,gompi2024a,OFF,1,4,collective-osu_allreduce
8192,4.27,4.25,4.42,4.74,gompi2024a,OFF,1,4,collective-osu_allreduce
16384,6.7,6.36,7.55,9.91,gompi2024a,OFF,1,4,collective-osu_allreduce
32768,10.25,9.71,11.25,15.68,gompi2024a,OFF,1,4,collective-osu_allreduce
65536,15.67,15.32,16.25,20.92,gompi2024a,OFF,1,4,collective-osu_allreduce
131072,26.99,26.77,27.31,29.94,gompi2024a,OFF,1,4,collective-osu_allreduce
262144,51.99,51.82,52.33,55.1,gompi2024a,OFF,1,4,collective-osu_allreduce
524288,105.02,104.83,106.98,109.17,gompi2024a,OFF,1,4,collective-osu_allreduce
1048576,228.46,228.13,230.91,234.23,gompi2024a,OFF,1,4,collective-osu_allreduce
4,0.55,0.54,0.57,0.68,gompi2024a,OFF,1,4,collective-osu_allreduce
8,0.55,0.54,0.57,0.61,gompi2024a,OFF,1,4,collective-osu_allreduce
16,0.54,0.53,0.56,0.6,gompi2024a,OFF,1,4,collective-osu_allreduce
32,0.83,0.83,0.87,0.92,gompi2024a,OFF,1,4,collective-osu_allreduce
64,0.82,0.81,0.86,0.9,gompi2024a,OFF,1,4,collective-osu_allreduce
128,1.31,1.09,2.3,3.82,gompi2024a,OFF,1,4,collective-osu_allreduce
256,1.14,1.11,1.17,2.14,gompi2024a,OFF,1,4,collective-osu_allreduce
512,1.44,1.39,1.48,3.08,gompi2024a,OFF,1,4,collective-osu_allreduce
1024,1.53,1.44,1.56,3.48,gompi2024a,OFF,1,4,collective-osu_allreduce
2048,2.02,1.86,2.33,4.07,gompi2024a,OFF,1,4,collective-osu_allreduce
4096,2.75,2.48,3.39,5.52,gompi2024a,OFF,1,4,collective-osu_allreduce
8192,4.09,4.07,4.19,4.36,gompi2024a,OFF,1,4,collective-osu_allreduce
16384,6.63,6.23,7.55,11.25,gompi2024a,OFF,1,4,collective-osu_allreduce
32768,10.45,9.9,11.58,15.81,gompi2024a,OFF,1,4,collective-osu_allreduce
65536,16.43,15.77,18.13,22.27,gompi2024a,OFF,1,4,collective-osu_allreduce
131072,27.9,27.55,28.92,34.68,gompi2024a,OFF,1,4,collective-osu_allreduce
262144,52.66,52.4,52.84,57.29,gompi2024a,OFF,1,4,collective-osu_allreduce
524288,106.82,106.67,108.33,111.48,gompi2024a,OFF,1,4,collective-osu_allreduce
1048576,229.69,229.4,232.71,235.38,gompi2024a,OFF,1,4,collective-osu_allreduce
4,0.55,0.54,0.57,0.71,gompi2024a,OFF,1,4,collective-osu_allreduce
8,0.54,0.54,0.57,0.62,gompi2024a,OFF,1,4,collective-osu_allreduce
16,0.54,0.53,0.56,0.62,gompi2024a,OFF,1,4,collective-osu_allreduce
32,0.83,0.82,0.87,0.92,gompi2024a,OFF,1,4,collective-osu_allreduce
64,0.82,0.81,0.85,0.88,gompi2024a,OFF,1,4,collective-osu_allreduce
128,1.31,1.09,2.3,3.62,gompi2024a,OFF,1,4,collective-osu_allreduce
256,1.15,1.12,1.18,2.38,gompi2024a,OFF,1,4,collective-osu_allreduce
512,1.44,1.38,1.47,3.23,gompi2024a,OFF,1,4,collective-osu_allreduce
1024,1.54,1.45,1.55,3.45,gompi2024a,OFF,1,4,collective-osu_allreduce
2048,2.02,1.86,2.32,4.28,gompi2024a,OFF,1,4,collective-osu_allreduce
4096,2.74,2.48,3.42,5.32,gompi2024a,OFF,1,4,collective-osu_allreduce
8192,4.12,4.09,4.23,4.57,gompi2024a,OFF,1,4,collective-osu_allreduce
