Size,toolchain,instrumentation,nodes,cores,benchmark,grand_mean_avg,se_avg,median_p50,mean_p90,worst_p90,mean_p99,worst_p99
4,gompi2024a,ON,1,104,collective-osu_allreduce,4.724,0.009568466729604864,4.535,5.725,5.8,9.504999999999999,11.23
4,gompi2024a,ON,4,4,collective-osu_allgather,2.623,0.003000000000000006,2.6,2.6260000000000003,2.64,3.687,3.73
4,gompi2024a,ON,4,4,collective-osu_allreduce,2.6870000000000003,0.002134374745810934,2.6550000000000002,2.698,2.72,3.821,3.91
4,gompi2024a,ON,4,104,collective-osu_allgather,7.016,0.029634814361190507,6.845,7.55,7.66,9.254999999999999,9.57
4,gompi2024a,ON,4,104,collective-osu_allreduce,7.625,0.027738861628488702,7.49,7.779999999999999,7.97,10.043000000000001,10.26
4,intel2024a,OFF,1,4,collective-osu_allgather,0.703,0.004484541349024574,0.7,0.715,0.76,0.743,0.78
4,intel2024a,OFF,1,4,collective-osu_allreduce,0.379,0.008089774066341067,0.355,0.422,0.48,0.512,0.58
4,intel2024a,OFF,1,104,collective-osu_allgather,5.214,0.06256019323641657,5.005,5.617,6.01,8.403,9.31
4,intel2024a,OFF,1,104,collective-osu_allreduce,3.6979999999999995,0.06632914559645374,3.395,4.737,5.13,5.665,6.17
4,intel2024a,OFF,4,4,collective-osu_allgather,2.494,0.003999999999999998,2.49,2.508,2.52,2.6689999999999996,3.05
4,intel2024a,OFF,4,4,collective-osu_allreduce,1.643,0.0021343747458109517,1.63,1.659,1.67,2.036,2.22
4,intel2024a,OFF,4,104,collective-osu_allgather,13.936000000000002,0.010349449797506696,13.885000000000002,14.113,14.16,14.75,14.98
4,intel2024a,OFF,4,104,collective-osu_allreduce,4.965,0.040695345079150146,4.585,4.982,5.0,18.052,21.95
4,intel2024a,ON,1,4,collective-osu_allgather,1.002,0.002494438257849296,0.97,0.998,1.02,2.21,2.29
4,intel2024a,ON,1,4,collective-osu_allreduce,0.6849999999999999,0.006871842709362759,0.655,0.701,0.74,1.8579999999999999,2.04
4,intel2024a,ON,1,104,collective-osu_allgather,5.5,0.05105552532945549,5.3100000000000005,5.970000000000001,6.09,9.453,10.34
4,intel2024a,ON,1,104,collective-osu_allreduce,3.9730000000000003,0.05310471835073705,3.855,4.589,5.06,7.447,8.29
4,intel2024a,ON,4,4,collective-osu_allgather,2.782,0.001333333333333364,2.76,2.783,2.79,3.793,3.88
4,intel2024a,ON,4,4,collective-osu_allreduce,1.939,0.003144660377352204,1.91,1.9579999999999997,1.97,3.057,3.15
4,intel2024a,ON,4,104,collective-osu_allgather,14.216999999999999,0.009780933834080815,14.15,14.379,14.41,15.556999999999999,15.69
4,intel2024a,ON,4,104,collective-osu_allreduce,5.451,0.2369643667539723,5.035,5.391,5.48,9.075,11.11
8,gompi2024a,OFF,1,4,collective-osu_allgather,0.5,0.001490711984999861,0.495,0.523,0.54,0.597,0.63
8,gompi2024a,OFF,1,4,collective-osu_allreduce,0.538,0.003265986323710907,0.53,0.563,0.58,0.634,0.66
8,gompi2024a,OFF,1,104,collective-osu_allgather,7.073,0.03162453337380828,6.83,7.894,8.01,11.153,11.68
8,gompi2024a,OFF,1,104,collective-osu_allreduce,4.272,0.014966629547095798,3.9850000000000003,5.215,5.27,8.439,11.6
8,gompi2024a,OFF,4,4,collective-osu_allgather,2.414,0.005416025603090652,2.415,2.426,2.44,2.532,2.61
8,gompi2024a,OFF,4,4,collective-osu_allreduce,2.475,0.006540472290116183,2.465,2.495,2.54,2.65,2.8
8,gompi2024a,OFF,4,104,collective-osu_allgather,7.583,0.026248809496813442,7.385,8.347,8.47,9.432,9.59
8,gompi2024a,OFF,4,104,collective-osu_allreduce,7.119,0.010692676621563646,7.06,7.239,7.3,8.573,8.95
8,gompi2024a,ON,1,4,collective-osu_allgather,0.758,0.0013333333333333348,0.73,0.768,0.77,1.7899999999999998,1.91
8,gompi2024a,ON,1,4,collective-osu_allreduce,0.796,0.0026666666666666696,0.77,0.8099999999999999,0.83,1.941,2.07
8,gompi2024a,ON,1,104,collective-osu_allgather,7.484999999999999,0.03499999999999995,7.16,8.489,8.67,12.629,13.36
8,gompi2024a,ON,1,104,collective-osu_allreduce,4.707,0.009195409482755804,4.53,5.638,5.67,10.039,11.46
8,gompi2024a,ON,4,4,collective-osu_allgather,2.613,0.002999999999999998,2.59,2.619,2.63,3.5170000000000003,3.61
